base,M,outer,inner,k,total_candidates,prime_count,density,midpoint,phi_base,tau_base,rad_base,outer_gcd,inner_gcd,outer_is_prime,inner_is_prime,min_length,max_length
8,1,7,3,2,7,0,0.000000,4.0,4,4,2,1,1,true,true,13,13
8,1,7,3,3,7,0,0.000000,4.0,4,4,2,1,1,true,true,17,17
8,1,7,5,0,7,2,0.285714,4.0,4,4,2,1,1,true,true,5,5
8,1,7,5,1,7,0,0.000000,4.0,4,4,2,1,1,true,true,9,9
8,1,7,5,2,7,1,0.142857,4.0,4,4,2,1,1,true,true,13,13
8,1,7,5,3,7,2,0.285714,4.0,4,4,2,1,1,true,true,17,17
8,2,1,3,0,56,8,0.142857,4.0,4,4,2,1,1,false,true,6,6
8,2,1,3,1,56,7,0.125000,4.0,4,4,2,1,1,false,true,10,10
8,2,1,3,2,56,4,0.071429,4.0,4,4,2,1,1,false,true,14,14
8,2,1,3,3,56,3,0.053571,4.0,4,4,2,1,1,false,true,18,18
8,2,1,5,0,56,13,0.232143,4.0,4,4,2,1,1,false,true,6,6
8,2,1,5,1,56,7,0.125000,4.0,4,4,2,1,1,false,true,10,10
8,2,1,5,2,56,6,0.107143,4.0,4,4,2,1,1,false,true,14,14
8,2,1,5,3,56,3,0.053571,4.0,4,4,2,1,1,false,true,18,18
8,2,1,7,0,56,8,0.142857,4.0,4,4,2,1,1,false,true,6,6
8,2,1,7,1,56,4,0.071429,4.0,4,4,2,1,1,false,true,10,10
8,2,1,7,2,56,2,0.035714,4.0,4,4,2,1,1,false,true,14,14
8,2,1,7,3,56,0,0.000000,4.0,4,4,2,1,1,false,true,18,18
8,2,3,1,0,56,8,0.142857,4.0,4,4,2,1,1,true,false,6,6
8,2,3,1,1,56,3,0.053571,4.0,4,4,2,1,1,true,false,10,10
8,2,3,1,2,56,2,0.035714,4.0,4,4,2,1,1,true,false,14,14
8,2,3,1,3,56,2,0.035714,4.0,4,4,2,1,1,true,false,18,18
8,2,3,5,0,56,14,0.250000,4.0,4,4,2,1,1,true,true,6,6
8,2,3,5,1,56,1,0.017857,4.0,4,4,2,1,1,true,true,10,10
8,2,3,5,2,56,5,0.089286,4.0,4,4,2,1,1,true,true,14,14
8,2,3,5,3,56,2,0.035714,4.0,4,4,2,1,1,true,true,18,18
8,2,3,7,0,56,10,0.178571,4.0,4,4,2,1,1,true,true,6,6
8,2,3,7,1,56,5,0.089286,4.0,4,4,2,1,1,true,true,10,10
8,2,3,7,2,56,3,0.053571,4.0,4,4,2,1,1,true,true,14,14
8,2,3,7,3,56,3,0.053571,4.0,4,4,2,1,1,true,true,18,18
8,2,5,1,0,56,9,0.160714,4.0,4,4,2,1,1,true,false,6,6
8,2,5,1,1,56,10,0.178571,4.0,4,4,2,1,1,true,false,10,10
8,2,5,1,2,56,7,0.125000,4.0,4,4,2,1,1,true,false,14,14
8,2,5,1,3,56,2,0.035714,4.0,4,4,2,1,1,true,false,18,18
8,2,5,3,0,56,11,0.196429,4.0,4,4,2,1,1,true,true,6,6
8,2,5,3,1,56,6,0.107143,4.0,4,4,2,1,1,true,true,10,10
8,2,5,3,2,56,3,0.053571,4.0,4,4,2,1,1,true,true,14,14
8,2,5,3,3,56,2,0.035714,4.0,4,4,2,1,1,true,true,18,18
8,2,5,7,0,56,11,0.196429,4.0,4,4,2,1,1,true,true,6,6
8,2,5,7,1,56,3,0.053571,4.0,4,4,2,1,1,true,true,10,10
8,2,5,7,2,56,6,0.107143,4.0,4,4,2,1,1,true,true,14,14
8,2,5,7,3,56,2,0.035714,4.0,4,4,2,1,1,true,true,18,18
8,2,7,1,0,56,10,0.178571,4.0,4,4,2,1,1,true,false,6,6
8,2,7,1,1,56,10,0.178571,4.0,4,4,2,1,1,true,false,10,10
8,2,7,1,2,56,3,0.053571,4.0,4,4,2,1,1,true,false,14,14
8,2,7,1,3,56,2,0.035714,4.0,4,4,2,1,1,true,false,18,18
8,2,7,3,0,56,13,0.232143,4.0,4,4,2,1,1,true,true,6,6
8,2,7,3,1,56,6,0.107143,4.0,4,4,2,1,1,true,true,10,10
8,2,7,3,2,56,4,0.071429,4.0,4,4,2,1,1,true,true,14,14
8,2,7,3,3,56,1,0.017857,4.0,4,4,2,1,1,true,true,18,18
8,2,7,5,0,56,12,0.214286,4.0,4,4,2,1,1,true,true,6,6
8,2,7,5,1,56,5,0.089286,4.0,4,4,2,1,1,true,true,10,10
8,2,7,5,2,56,3,0.053571,4.0,4,4,2,1,1,true,true,14,14
8,2,7,5,3,56,2,0.035714,4.0,4,4,2,1,1,true,true,18,18
8,3,1,3,0,448,69,0.154018,4.0,4,4,2,1,1,false,true,7,7
8,3,1,3,1,448,50,0.111607,4.0,4,4,2,1,1,false,true,11,11
8,3,1,3,2,448,35,0.078125,4.0,4,4,2,1,1,false,true,15,15
8,3,1,3,3,448,20,0.044643,4.0,4,4,2,1,1,false,true,19,19
8,3,1,5,0,448,71,0.158482,4.0,4,4,2,1,1,false,true,7,7
8,3,1,5,1,448,47,0.104911,4.0,4,4,2,1,1,false,true,11,11
8,3,1,5,2,448,40,0.089286,4.0,4,4,2,1,1,false,true,15,15
8,3,1,5,3,448,21,0.046875,4.0,4,4,2,1,1,false,true,19,19
8,3,1,7,0,448,64,0.142857,4.0,4,4,2,1,1,false,true,7,7
8,3,1,7,1,448,40,0.089286,4.0,4,4,2,1,1,false,true,11,11
8,3,1,7,2,448,38,0.084821,4.0,4,4,2,1,1,false,true,15,15
8,3,1,7,3,448,23,0.051339,4.0,4,4,2,1,1,false,true,19,19
8,3,3,1,0,448,65,0.145089,4.0,4,4,2,1,1,true,false,7,7
8,3,3,1,1,448,44,0.098214,4.0,4,4,2,1,1,true,false,11,11
8,3,3,1,2,448,28,0.062500,4.0,4,4,2,1,1,true,false,15,15
