base,M,outer,inner,k,samples,prime_count,density
30,5,1,11,0,100,13,0.130000
30,5,1,11,1,100,10,0.100000
30,5,1,13,0,100,18,0.180000
30,5,1,13,1,100,7,0.070000
30,5,1,17,0,100,15,0.150000
30,5,1,17,1,100,11,0.110000
30,5,1,19,0,100,14,0.140000
30,5,1,19,1,100,16,0.160000
30,6,1,7,0,100,9,0.090000
30,6,1,7,1,100,3,0.030000
30,6,1,11,0,100,15,0.150000
30,6,1,11,1,100,7,0.070000
30,6,1,13,0,100,7,0.070000
30,6,1,13,1,100,4,0.040000
30,6,1,17,0,100,12,0.120000
30,6,1,17,1,100,9,0.090000
30,6,1,19,0,100,7,0.070000
30,6,1,19,1,100,9,0.090000
30,7,1,7,0,100,12,0.120000
30,7,1,7,1,100,6,0.060000
30,7,1,11,0,100,8,0.080000
30,7,1,11,1,100,7,0.070000
30,7,1,13,0,100,10,0.100000
30,7,1,13,1,100,6,0.060000
30,7,1,17,0,100,13,0.130000
30,7,1,17,1,100,9,0.090000
30,7,1,19,0,100,6,0.060000
30,7,1,19,1,100,9,0.090000
30,8,1,7,0,100,12,0.120000
30,8,1,7,1,100,9,0.090000
30,8,1,11,0,100,12,0.120000
30,8,1,11,1,100,5,0.050000
30,8,1,13,0,100,12,0.120000
30,8,1,13,1,100,5,0.050000
30,8,1,17,0,100,11,0.110000
30,8,1,17,1,100,4,0.040000
30,8,1,19,0,100,7,0.070000
30,8,1,19,1,100,7,0.070000
30,9,1,7,0,100,6,0.060000
30,9,1,7,1,100,9,0.090000
30,9,1,11,0,100,12,0.120000
30,9,1,11,1,100,6,0.060000
30,9,1,13,0,100,10,0.100000
30,9,1,13,1,100,6,0.060000
30,9,1,17,0,100,9,0.090000
30,9,1,17,1,100,7,0.070000
30,9,1,19,0,100,14,0.140000
30,9,1,19,1,100,4,0.040000
30,10,1,7,0,100,10,0.100000
30,10,1,7,1,100,7,0.070000
30,10,1,11,0,100,11,0.110000
30,10,1,11,1,100,5,0.050000
30,10,1,13,0,100,12,0.120000
30,10,1,13,1,100,8,0.080000
30,10,1,17,0,100,10,0.100000
30,10,1,17,1,100,6,0.060000
30,10,1,19,0,100,12,0.120000
30,10,1,19,1,100,6,0.060000
