base,outer,inner,k_outer,k_inner,middle_length,total_padding,total_digits,total_tested,primes_found,composites_found,density,mean_gap,std_gap,min_gap,max_gap,gap_ratio,relative_std,elapsed_ms,examples
6,1,5,0,0,1,0,3,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"2551"
6,1,5,0,1,1,2,5,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"85999"
6,1,5,0,2,1,4,7,6,2,4,0.33333333,2592.0000,0.0000,2592,2592,1.0000,0.0000,0,"3081919;3084511"
6,1,5,0,3,1,6,9,6,2,4,0.33333333,7776.0000,0.0000,7776,7776,1.0000,0.0000,0,"110862463;110870239"
6,1,5,1,0,1,2,5,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"54181"
6,1,5,1,1,1,4,7,6,0,6,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
6,1,5,1,2,1,6,9,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"68879989"
6,1,5,1,3,1,8,11,6,0,6,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
6,1,5,2,0,1,4,7,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"1724761"
6,1,5,2,1,1,6,9,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"61905817"
6,1,5,2,2,1,8,11,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"2227358521"
6,1,5,2,3,1,10,13,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"80178150457"
6,1,5,3,0,1,6,9,6,2,4,0.33333333,7776.0000,0.0000,7776,7776,1.0000,0.0000,0,"60713713;60721489"
6,1,5,3,1,1,8,11,6,1,5,0.16666667,0.0000,0.0000,0,0,0.0000,0.0000,0,"2185420177"
6,1,5,3,2,1,10,13,6,0,6,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
6,1,5,3,3,1,12,15,6,0,6,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,0,""
6,1,5,0,0,2,0,4,36,10,26,0.27777778,132.0000,88.1816,72,360,5.0000,0.6680,0,"14323;14431;14503;14683;14827"
6,1,5,0,1,2,2,6,36,8,28,0.22222222,894.8571,558.8466,432,2160,5.0000,0.6245,0,"513679;514543;515191;515839;517999"
6,1,5,0,2,2,4,8,36,5,31,0.13888889,8100.0000,5602.4837,1296,16848,13.0000,0.6917,0,"18483583;18500431;18508207;18514687;18515983"
6,1,5,0,3,2,6,10,36,4,32,0.11111111,36288.0000,15978.1611,15552,54432,3.5000,0.4403,0,"665221279;665260159;665275711;665330143"
6,1,5,1,0,2,2,6,36,8,28,0.22222222,771.4286,413.9920,216,1296,6.0000,0.5367,0,"320293;320941;322237;322669;323101"
6,1,5,1,1,2,4,8,36,5,31,0.13888889,3564.0000,2652.0543,1296,7776,6.0000,0.7441,0,"11489221;11496997;11498293;11499589;11503477"
6,1,5,1,2,2,6,10,36,5,31,0.13888889,21384.0000,11500.8591,7776,38880,5.0000,0.5378,0,"413341237;413380117;413387893;413411221;413426773"
6,1,5,1,3,2,8,12,36,5,31,0.13888889,221616.0000,229457.8888,46656,606528,13.0000,1.0354,0,"14875192693;14875239349;14875845877;14875892533;14876079157"
6,1,5,2,0,2,4,8,36,4,32,0.11111111,9936.0000,11314.7719,1296,25920,20.0000,1.1388,0,"10323721;10349641;10350937;10353529"
6,1,5,2,1,2,6,10,36,5,31,0.13888889,46656.0000,14547.5639,31104,69984,2.2500,0.3118,0,"371211769;371281753;371312857;371351737;371398393"
6,1,5,2,2,2,8,12,36,5,31,0.13888889,326592.0000,377596.6671,93312,979776,10.5000,1.1562,0,"13363305913;13364285689;13364379001;13364518969;13364612281"
6,1,5,2,3,2,10,14,36,2,34,0.05555556,6718464.0000,0.0000,6718464,6718464,1.0000,0.0000,0,"481070576953;481077295417"
6,1,5,3,0,2,6,10,36,3,33,0.08333333,85536.0000,31104.0000,54432,116640,2.1429,0.3636,0,"364273201;364327633;364444273"
6,1,5,3,1,2,8,12,36,6,30,0.16666667,242611.2000,129968.5767,93312,466560,5.0000,0.5357,0,"13111368913;13111508881;13111602193;13111882129;13112115409"
6,1,5,3,2,2,10,14,36,3,33,0.08333333,2659392.0000,1819584.0000,839808,4478976,5.3333,0.6842,0,"472003175377;472007654353;472008494161"
6,1,5,3,3,2,12,16,36,2,34,0.05555556,26873856.0000,0.0000,26873856,26873856,1.0000,0.0000,0,"16991964600913;16991991474769"
6,1,5,0,0,3,0,5,216,58,158,0.26851852,134.5263,113.5473,36,576,16.0000,0.8441,0,"85639;85711;85819;85999;86143"
6,1,5,0,1,3,2,7,216,50,166,0.23148148,943.3469,774.1317,216,3672,17.0000,0.8206,0,"3079543;3079759;3080839;3081271;3081703"
6,1,5,0,2,3,4,9,216,31,185,0.14351852,8683.2000,8183.9775,1296,36288,28.0000,0.9425,0,"110859871;110862463;110870239;110875423;110894863"
6,1,5,0,3,3,6,11,216,21,195,0.09722222,75427.2000,51292.1370,15552,186624,12.0000,0.6800,0,"3990845407;3990938719;3991055359;3991133119;3991171999"
6,1,5,1,0,3,2,7,216,50,166,0.23148148,908.0816,694.0863,216,2808,13.0000,0.7643,0,"1913293;1913941;1916749;1917397;1919341"
6,1,5,1,1,3,4,9,216,35,181,0.16203704,8119.0588,7093.6726,1296,31104,24.0000,0.8737,0,"68865733;68869621;68870917;68879989;68883877"
6,1,5,1,2,3,6,11,216,26,190,0.12037037,65318.4000,52371.2301,7776,209952,27.0000,0.8018,0,"2479144501;2479167829;2479222261;2479323349;2479354453"
