6,2,1,1,0,100,32,0.320000
6,2,1,1,1,100,23,0.230000
6,2,1,1,2,100,18,0.180000
6,2,1,1,3,100,20,0.200000
6,2,1,1,4,100,17,0.170000
6,2,1,1,5,100,10,0.100000
6,3,1,1,0,100,23,0.230000
6,3,1,1,1,100,24,0.240000
6,3,1,1,2,100,15,0.150000
6,3,1,1,3,100,12,0.120000
6,3,1,1,4,100,5,0.050000
6,3,1,1,5,100,6,0.060000
6,4,1,1,0,100,30,0.300000
6,4,1,1,1,100,14,0.140000
6,4,1,1,2,100,6,0.060000
6,4,1,1,3,100,14,0.140000
6,4,1,1,4,100,12,0.120000
6,4,1,1,5,100,9,0.090000
6,2,1,5,0,100,36,0.360000
6,2,1,5,1,100,25,0.250000
6,2,1,5,2,100,16,0.160000
6,2,1,5,3,100,20,0.200000
6,2,1,5,4,100,14,0.140000
6,2,1,5,5,100,4,0.040000
6,3,1,5,0,100,25,0.250000
6,3,1,5,1,100,21,0.210000
6,3,1,5,2,100,10,0.100000
6,3,1,5,3,100,9,0.090000
6,3,1,5,4,100,15,0.150000
6,3,1,5,5,100,21,0.210000
6,4,1,5,0,100,25,0.250000
6,4,1,5,1,100,16,0.160000
6,4,1,5,2,100,22,0.220000
6,4,1,5,3,100,13,0.130000
6,4,1,5,4,100,12,0.120000
6,4,1,5,5,100,15,0.150000
6,2,5,1,0,100,13,0.130000
6,2,5,1,1,100,12,0.120000
6,2,5,1,2,100,7,0.070000
6,2,5,1,3,100,18,0.180000
6,2,5,1,4,100,17,0.170000
6,2,5,1,5,100,14,0.140000
6,3,5,1,0,100,24,0.240000
6,3,5,1,1,100,20,0.200000
6,3,5,1,2,100,15,0.150000
6,3,5,1,3,100,7,0.070000
6,3,5,1,4,100,12,0.120000
6,3,5,1,5,100,10,0.100000
6,4,5,1,0,100,22,0.220000
6,4,5,1,1,100,21,0.210000
6,4,5,1,2,100,16,0.160000
6,4,5,1,3,100,11,0.110000
6,4,5,1,4,100,13,0.130000
6,4,5,1,5,100,7,0.070000
10,2,1,1,0,100,15,0.150000
10,2,1,1,1,100,13,0.130000
10,2,1,1,2,100,17,0.170000
10,2,1,1,3,100,12,0.120000
10,2,1,1,4,100,6,0.060000
10,2,1,1,5,100,7,0.070000
10,3,1,1,0,100,19,0.190000
10,3,1,1,1,100,14,0.140000
10,3,1,1,2,100,10,0.100000
10,3,1,1,3,100,8,0.080000
10,3,1,1,4,100,6,0.060000
10,3,1,1,5,100,10,0.100000
10,4,1,1,0,100,14,0.140000
10,4,1,1,1,100,8,0.080000
10,4,1,1,2,100,9,0.090000
10,4,1,1,3,100,9,0.090000
10,4,1,1,4,100,8,0.080000
10,4,1,1,5,100,5,0.050000
10,2,1,3,0,100,14,0.140000
10,2,1,3,1,100,15,0.150000
10,2,1,3,2,100,11,0.110000
10,2,1,3,3,100,4,0.040000
10,2,1,3,4,100,5,0.050000
10,2,1,3,5,100,7,0.070000
10,3,1,3,0,100,18,0.180000
10,3,1,3,1,100,19,0.190000
10,3,1,3,2,100,11,0.110000
10,3,1,3,3,100,10,0.100000
10,3,1,3,4,100,9,0.090000
10,3,1,3,5,100,7,0.070000
10,4,1,3,0,100,14,0.140000
10,4,1,3,1,100,14,0.140000
10,4,1,3,2,100,10,0.100000
10,4,1,3,3,100,7,0.070000
10,4,1,3,4,100,12,0.120000
10,4,1,3,5,100,7,0.070000
10,2,3,1,0,100,14,0.140000
