base,outer,inner,k_outer,k_inner,middle_length,total_padding,total_digits,total_tested,primes_found,composites_found,density,mean_gap,std_gap,min_gap,max_gap,gap_ratio,relative_std,elapsed_ms,examples
10,3,7,0,3,3,6,11,1000,77,923,0.07700000,1293421.0526,1038386.3400,100000,4200000,42.0000,0.8028,1,"3700000600073;3700002700073;3700003000073;3700005300073;3700006200073"
10,3,7,1,0,3,2,7,1000,131,869,0.13100000,7515.3846,5566.7068,1000,25000,25.0000,0.7407,0,"307018703;307027703;307036703;307038703;307045703"
10,3,7,1,1,3,4,9,1000,98,902,0.09800000,97525.7732,80232.0209,10000,370000,37.0000,0.8227,1,"30700500703;30700560703;30700630703;30700780703;30700800703"
10,3,7,1,2,3,6,11,1000,86,914,0.08600000,1168235.2941,1145858.1952,100000,5800000,58.0000,0.9808,1,"3070000200703;3070000800703;3070001200703;3070001400703;3070007200703"
10,3,7,1,3,3,8,13,1000,93,907,0.09300000,10684782.6087,11391195.4442,1000000,60000000,60.0000,1.0661,1,"307000003000703;307000006000703;307000041000703;307000045000703;307000048000703"
10,3,7,2,0,3,4,9,1000,92,908,0.09200000,104725.2747,97803.8029,10000,480000,48.0000,0.9339,1,"30070427003;30070727003;30070817003;30070997003;30071047003"
10,3,7,2,1,3,6,11,1000,86,914,0.08600000,1124705.8824,1059401.1496,100000,4800000,48.0000,0.9419,1,"3007001207003;3007002707003;3007003007003;3007004207003;3007004807003"
10,3,7,2,2,3,8,13,1000,70,930,0.07000000,13710144.9275,10723266.6574,1000000,45000000,45.0000,0.7821,1,"300700023007003;300700035007003;300700057007003;300700059007003;300700102007003"
10,3,7,2,3,3,10,15,1000,73,927,0.07300000,134444444.4444,126665448.3372,10000000,650000000,65.0000,0.9421,1,"30070000180007003;30070000480007003;30070000600007003;30070001250007003;30070001260007003"
10,3,7,3,0,3,6,11,1000,80,920,0.08000000,1256962.0253,1046353.9523,100000,4200000,42.0000,0.8324,2,"3000700270003;3000700670003;3000702170003;3000704170003;3000704470003"
10,3,7,3,1,3,8,13,1000,69,931,0.06900000,14338235.2941,11505254.9300,1000000,57000000,57.0000,0.8024,1,"300070008070003;300070036070003;300070041070003;300070053070003;300070063070003"
10,3,7,3,2,3,10,15,1000,84,916,0.08400000,118915662.6506,113774370.3346,10000000,480000000,48.0000,0.9568,1,"30007000110070003;30007000120070003;30007000140070003;30007000380070003;30007000450070003"
10,3,7,3,3,3,12,17,1000,67,933,0.06700000,1450000000.0000,1183504042.3175,100000000,5100000000,51.0000,0.8162,1,"3000700003800070003;3000700004500070003;3000700005000070003;3000700006600070003;3000700006900070003"
10,3,7,0,0,4,0,6,10000,1386,8614,0.13860000,720.7942,617.0742,100,4600,46.0000,0.8561,7,"37000673;37000973;37002673;37005973;37006573"
10,3,7,0,1,4,2,8,10000,1129,8871,0.11290000,8845.7447,7854.3456,1000,58000,58.0000,0.8879,7,"3700015073;3700017073;3700045073;3700048073;3700050073"
10,3,7,0,2,4,4,10,10000,927,9073,0.09270000,107796.9762,93577.2502,10000,650000,65.0000,0.8681,12,"370000050073;370000170073;370000360073;370000390073;370000510073"
10,3,7,0,3,4,6,12,10000,806,9194,0.08060000,1241490.6832,1121065.4932,100000,7700000,77.0000,0.9030,12,"37000000200073;37000002900073;37000003000073;37000003600073;37000006000073"
10,3,7,1,0,4,2,8,10000,1138,8862,0.11380000,8778.3641,7388.2259,1000,52000,52.0000,0.8416,8,"3070005703;3070017703;3070018703;3070045703;3070050703"
