base,k,low,high,mid,ln_mid,target,w_min,window,prime_count,density,theory_density,w_pred,ratio_w_over_pred,zscore
30,6,24300000,199999999,112149999,18.535347810,16,146,292,16,0.054794521,0.053950970,148.282782480,0.984605,0.062059
30,6,24300000,199999999,112149999,18.535347810,32,350,700,33,0.047142857,0.053950970,296.565564960,1.180177,-0.775490
10,1,1,9,5,1.609437912,8,14,28,8,0.285714286,0.621334935,6.437751650,2.174672,-2.253019
10,1,1,9,5,1.609437912,16,48,96,16,0.166666667,0.621334935,12.875503299,3.728010,-5.651547
10,1,1,9,5,1.609437912,32,126,252,32,0.126984127,0.621334935,25.751006599,4.893013,-9.955719
10,2,10,99,54,3.988984047,8,17,34,9,0.264705882,0.250690398,15.955936186,1.065434,0.163222
10,2,10,99,54,3.988984047,16,35,70,17,0.242857143,0.250690398,31.911872373,1.096770,-0.130895
10,2,10,99,54,3.988984047,32,77,154,32,0.207792208,0.250690398,63.823744745,1.206448,-1.063238
10,3,100,999,549,6.308098442,8,28,56,9,0.160714286,0.158526378,25.232393766,1.109685,0.041122
10,3,100,999,549,6.308098442,16,52,104,16,0.153846154,0.158526378,50.464787532,1.030421,-0.119876
10,3,100,999,549,6.308098442,32,100,200,32,0.160000000,0.158526378,100.929575064,0.990790,0.052342
10,4,1000,9999,5499,8.612321537,8,22,44,8,0.181818182,0.116112711,34.449286146,0.638620,1.279051
10,4,1000,9999,5499,8.612321537,16,62,124,16,0.129032258,0.116112711,68.898572292,0.899874,0.422200
10,4,1000,9999,5499,8.612321537,32,140,280,32,0.114285714,0.116112711,137.797144584,1.015986,-0.089717
10,5,10000,99999,54999,10.915070282,8,50,100,9,0.090000000,0.091616451,43.660281129,1.145206,-0.053404
10,5,10000,99999,54999,10.915070282,16,80,160,16,0.100000000,0.091616451,87.320562258,0.916165,0.350349
10,5,10000,99999,54999,10.915070282,32,200,400,32,0.080000000,0.091616451,174.641124516,1.145206,-0.767568
10,6,100000,999999,549999,13.217671739,8,56,112,8,0.071428571,0.075656290,52.870686956,1.059188,-0.162664
10,6,100000,999999,549999,13.217671739,16,118,236,16,0.067796610,0.075656290,105.741373912,1.115930,-0.438974
10,6,100000,999999,549999,13.217671739,32,232,464,32,0.068965517,0.075656290,211.482747824,1.097016,-0.523978
10,7,1000000,9999999,5499999,15.520258468,8,46,92,8,0.086956522,0.064431917,62.081033874,0.740967,0.851139
10,7,1000000,9999999,5499999,15.520258468,16,110,220,16,0.072727273,0.064431917,124.162067747,0.885939,0.484725
10,7,1000000,9999999,5499999,15.520258468,32,220,440,32,0.072727273,0.064431917,248.324135494,0.885939,0.685505
10,8,10000000,99999999,54999999,17.822843725,8,92,184,9,0.048913043,0.056107769,71.291374900,1.290479,-0.412014
10,8,10000000,99999999,54999999,17.822843725,16,170,340,16,0.047058824,0.056107769,142.582749800,1.192290,-0.704411
10,8,10000000,99999999,54999999,17.822843725,32,356,712,32,0.044943820,0.056107769,285.165499600,1.248398,-1.257611
10,9,100000000,199999999,149999999,18.826145845,8,96,192,8,0.041666667,0.053117617,75.304583382,1.274823,-0.688451
10,9,100000000,199999999,149999999,18.826145845,16,144,288,16,0.055555556,0.053117617,150.609166763,0.956117,0.179515
10,9,100000000,199999999,149999999,18.826145845,32,284,568,32,0.056338028,0.053117617,301.218333526,0.942838,0.333017
