space_size,position,digit,digit_sum,form
15,0,1,10,6k+1
15,6,4,13,6k+1
15,6,5,14,6k-1
15,7,1,10,6k+1
15,11,5,14,6k-1
15,11,8,17,6k-1
15,12,5,14,6k-1
15,13,2,11,6k-1
