space_size,position,digit,digit_sum,form
82,4,2,11,6k-1
82,6,1,10,6k+1
82,12,1,10,6k+1
82,13,5,14,6k-1
82,15,7,16,6k+1
82,25,8,17,6k-1
82,31,8,17,6k-1
82,32,8,17,6k-1
82,51,8,17,6k-1
82,64,2,11,6k-1
82,75,1,10,6k+1
82,75,8,17,6k-1
