space_size,position,digit,digit_sum,form
100,5,5,14,6k-1
100,28,2,11,6k-1
100,37,1,10,6k+1
100,41,2,11,6k-1
100,52,5,14,6k-1
100,67,2,11,6k-1
100,81,8,17,6k-1
100,99,2,11,6k-1
